MCID;SvcDate;SvcTime;Mileage;Category;Notes
"ALV34";2014-12-01;10.00;;Supervisor;""
"ALV34";2014-12-01;1.00;;CtrVol;""
"CHR16A";2014-12-01;4.00;;CtrVol;""
"COR77";2014-12-01;5.50;;OfficeAdmin;""
"HER74";2014-12-01;7.50;;CtrVol;""
"DIL82";2014-12-01;7.00;;CtrVol;""
"WRI15";2014-12-01;4.00;;CtrVol;""
"DUN13";2014-12-02;10.00;;Supervisor;""
"DUN13";2014-12-02;1.00;;CtrVol;""
"WRI15";2014-12-02;5.00;;CtrVol;""
"CAI58";2014-12-02;4.50;;CtrVol;""
"HUD47";2014-12-02;2.50;;CtrVol;""
"SIN60";2014-12-02;4.50;;OfficeAdmin;""
"KUN58";2014-12-02;3.50;;CtrVol;""
"BIS47";2014-12-02;4.50;;CtrVol;""
"CHE28";2014-12-02;4.00;;CtrVol;""
"CHE28A";2014-12-02;4.00;;CtrVol;""
"PER17";2014-12-02		;4.00;;BOD;"Fund Raising"
"WAD81";2014-12-02;4.00;;BOD;"Fund Raising"
"CRO13";2014-12-02;4.00;;BOD;"Fund Raising"
"BAK56";2014-12-02;4.00;;BOD;"Fund Raising"
"DUN13";2014-12-03;10.00;;Supervisor;""
"DUN13";2014-12-03;0.75;;CtrVol;""
"FAB92";2014-12-03;4.00;;CtrVol;""
"FEI11";2014-12-03;4.00;;CtrVol;""
"CLA23";2014-12-03;4.00;;CtrVol;""
"WRI15";2014-12-03;6.00;;CtrVol;""
"COR77";2014-12-03;4.50;;OfficeAdmin;""
"DIL82";2014-12-03;4.50;;CtrVol;""
"DAW34";2014-12-03;3.00;;CtrVol;""
"HUD47";2014-12-03;3.50;;CtrVol;""
"HAR21A";2014-12-03;3.50;;CtrVol;""
"CRO13";2014-12-04;6.00;;BOD;""
"CRO13";2014-12-03;4.00;;BOD;""
"VEN15";2014-12-07;12.00;;Committee;""
"VEN15";2014-12-01;12.00;;Grant;""
"KAL11";2014-12-15;12.00;;Grant;""
"CAM53";2014-12-04;10.00;;Supervisor;""
"CHR16A";2014-12-04;4.50;;CtrVol;""
"SUT12";2014-12-04;3.00;;CtrVol;""
"COR77";2014-12-04;4.50;;OfficeAdmin;""
"BRO75";2014-12-04;3.00;;CtrVol;""
"DIL82";2014-12-04;6.00;;CtrVol;""
"SCO71";2014-12-04;2.00;;OfficeAdmin;""
"THA32";2014-12-04;3.50;;CtrVol;""
"HEN85";2014-12-04;2.00;60;CtrVol;""
"CAM53";2014-12-05;10.00;;Supervisor;""
"CAM53";2014-12-05;1.00;;CtrVol;""
"DIL82";2014-12-05;9.00;;CtrVol;""
"CHE28";2014-12-05;5.00;;CtrVol;""
"BOO11";2014-12-05;4.00;;CtrVol;""
"REE60A";2014-12-05;1.00;;CtrVol;""
"WRI15";2014-12-05;6.00;;CtrVol;""
"FLA56A";2014-12-05;4.00;;OfficeAdmin;""
"BIS47";2014-12-05;4.00;;CtrVol;""
"RIV20";2014-12-05;4.00;;CtrVol;""
"ERI30";2014-12-05;3.00;;CtrVol;""
"CAM53";2014-12-06;10.00;;Supervisor;""
"CAM53";2014-12-06;2.00;;CtrVol;""
"SCH18";2014-12-06;7.00;;CtrVol;""
"AAS47";2014-12-06;6.00;;OfficeAdmin;""
"BIS47";2014-12-06;4.00;;CtrVol;""
"WAD81";2014-12-06;3.00;;CtrVol;""
"KUN58";2014-12-06;3.00;;CtrVol;""
"MCA10";2014-12-06;4.00;;CtrVol;""
"CRO13";2014-12-06;4.00;;BOD;""
"DIL82";2014-12-06;2.00;;CtrVol;""
"DIL82";2014-12-06;5.50;331;Transporter;"Minnows"
"BAL18";2014-12-06;0.75;39;Transporter;""
"ALV34";2014-12-07;10.00;;Supervisor;""
"ALV34";2014-12-07;1.00;;CtrVol;""
"MEY56";2014-12-07;5.50;;CtrVol;""
"WRI15";2014-12-07;3.50;;CtrVol;""
"GRA10";2014-12-07;5.00;;OfficeAdmin;""
"HOL14";2014-12-07;1.50;;Transporter;""
"WOL37";2014-12-07;4.00;;CtrVol;""
"DIL82";2014-12-07;3.50;;CtrVol;""
"BAK56";2014-12-07;9.00;;CtrVol;""
"ROB27";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"DUC17A";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"GAL27";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"FLA24";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"CAM53";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"DUN13";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"BAK56";2014-12-07;3.00;;Other;"Ed. Team Meeting"
"ALV34";2014-12-08;10.00;;Supervisor;""
"DIL82";2014-12-08;11.00;;CtrVol;""
"CHR16A";2014-12-08;4.00;;CtrVol;""
"HER74";2014-12-08;5.00;;CtrVol;""
"COR77";2014-12-08;5.00;;OfficeAdmin;""
"WRI15";2014-12-08;4.00;;CtrVol;""
"STR20A";2014-12-08;1.00;44;Transporter;""
"CAM53";2014-12-09;10.00;;Supervisor;""
"CAM53";2014-12-09;2.50;;CtrVol;""
"WRI15";2014-12-09;5.00;;CtrVol;""
"FLA24";2014-12-09;4.00;;CtrVol;""
"WRI77";2014-12-09;4.00;;CtrVol;""
"SIN60";2014-12-09;4.00;;OfficeAdmin;""
"HUD47";2014-12-09;3.00;;CtrVol;""
"BIS47";2014-12-09;4.50;;CtrVol;""
"CHE28";2014-12-09;4.00;;CtrVol;""
"CHE28A";2014-12-09;4.00;;CtrVol;""
"KUN58";2014-12-09;5.00;;BOD;""
"DIL82";2014-12-09;5.50;;BOD;""
"PER17";2014-12-09;4.00;;BOD;""
"BAK56";2014-12-09;5.50;;BOD;""
"WAD81";2014-12-09;3.50;;BOD;""
"NEL23A";2014-12-09;3.50;;BOD;""
"CRO13";2014-12-09;5.00;;BOD;""
"DUN13";2014-12-10;10.00;;Supervisor;""
"DUN13";2014-12-10;1.00;;CtrVol;""
"CLA23";2014-12-10;4.50;;CtrVol;""
"COR77";2014-12-10;5.00;;OfficeAdmin;""
"FEI11";2014-12-10;5.00;;CtrVol;""
"STO86";2014-12-10;4.50;;CtrVol;""
"HAR21A";2014-12-10;7.00;;CtrVol;""
"SCO71";2014-12-10;3.50;;OfficeAdmin;""
"DAW34";2014-12-10;4.00;;CtrVol;""
"HUD47";2014-12-10;3.00;;CtrVol;""
"CRO13";2014-12-16;5.50;;Committee;""
"CAM53";2014-12-11;10.00;;Supervisor;""
"WRI15";2014-12-11;4.50;;CtrVol;""
"SUT12";2014-12-11;3.00;;CtrVol;""
"COR77";2014-12-11;4.00;;OfficeAdmin;""
"DIL82";2014-12-11;7.00;;CtrVol;""
"DUN13";2014-12-11;1.50;;CtrVol;""
"THA32";2014-12-11;3.00;;CtrVol;""
"BAL18";2014-12-11;3.50;37;Transporter;""
"CAM53";2014-12-12;10.00;;Supervisor;""
"CAM53";2014-12-12;0.75;;CtrVol;""
"DIL82";2014-12-12;11.00;;CtrVol;""
"WRI15";2014-12-12;8.00;;CtrVol;""
"KOC11";2014-12-12;4.00;;CtrVol;""
"BIS47";2014-12-12;4.00;;CtrVol;""
"STO86";2014-12-12;4.00;;OfficeAdmin;""
"RIV20";2014-12-12;3.50;;CtrVol;""
"REE60A";2014-12-12;0.50;;CtrVol;""
"CAM53";2014-12-13;10.00;;Supervisor;""
"CAM53";2014-12-13;2.00;;CtrVol;""
"CHE28";2014-12-13;4.50;;CtrVol;""
"AAS47";2014-12-13;7.00;;OfficeAdmin;""
"PLE17";2014-12-13;4.50;;CtrVol;""
"PAR73";2014-12-13;4.00;;CtrVol;""
"MCA10";2014-12-13;3.50;;CtrVol;""
"SCH18";2014-12-13;4.50;;CtrVol;""
"GRI72";2014-12-13;1.00;15;Transporter;""
"MCA10";2014-12-13;1.00;45;Transporter;""
"CAM53";2014-12-14;5.50;;Supervisor;""
"DUN13";2014-12-14;6.00;;Supervisor;""
"DIL82";2014-12-14;7.00;;CtrVol;""
"THA32";2014-12-14;8.00;;CtrVol;""
"MEY56";2014-12-14;5.00;;CtrVol;""
"SCH94";2014-12-14;2.00;;CtrVol;""
"GRA10";2014-12-14;4.00;;OfficeAdmin;""
"WOL37";2014-12-14;4.00;;CtrVol;""
"MEY56";2014-12-14;0.50;15;Transporter;""
"ALV34";2014-12-15;10.00;;Supervisor;""
"ALV34";2014-12-15;2.50;;CtrVol;""
